word	x	y	nearest
拒绝	49.8560923558	55.1961546576	0.510
风速	95.9848287956	-15.5239094877	0.507
上墨	11.6452071383	-26.0682737387	0.594
这使	65.4245305038	22.4029660092	0.464
大得多	80.2079044604	-14.6864711775	0.457
老伴	-32.4856416841	48.7142155882	0.492
传真	3.68605279537	-67.2076971521	0.578
原本	55.0861960229	13.3838378629	0.531
打晕	8.4074773746	12.9700728584	0.687
王颂蔚	-15.8269191107	-84.0923440374	0.693
鼓励	20.7851683496	77.3619969458	0.598
一生	-62.6015777112	53.1613269111	0.595
造就	-24.4111319334	52.1590182194	0.469
来信	24.162512985	-77.8356198023	0.511
号召	58.7237533137	77.889238399	0.528
连命	-46.3940795359	25.2754373821	0.540
同盟条约	61.8196645735	-42.503543521	0.482
何其	-74.3516268374	-29.4652782073	0.480
借此	28.388317597	85.4572808529	0.542
对安真	-9.12924340562	14.8957484455	0.573
这位	12.6683800122	66.7813483062	0.594
小屋	32.0657865404	-22.4856872903	0.475
舍列	-99.7071189922	-27.5607942564	0.599
温柔	41.4533632625	-69.6613828867	0.483
可以	87.334845153	1.02522834166	0.710
全杀	-4.46085626016	-1.10961328671	0.498
收复	-105.945440235	-2.10033123	0.501
出口	-5.62339757168	-29.180476977	0.394
惧怕	26.4847209144	42.9168186931	0.669
红外线	-8.83006225989	-22.3201109023	0.578
写信给	51.4483003907	47.7930024318	0.676
比我强	-34.7132341565	-10.8604459501	0.456
父母亲	69.5783989282	-75.7758678461	0.680
善良	41.1052248888	-68.9424994072	0.697
福顺里	-24.4792851994	-42.1777151808	0.467
杨智渊	-10.1494905571	-9.40328628107	0.604
方亦萱	-40.0252856398	-13.8664164586	0.486
急于	42.2741361613	37.2435280709	0.495
妻子	76.0275849393	-78.645601061	0.859
甚么	-45.6374347926	73.0734545681	0.736
五星级	12.7668757628	109.104957675	0.635
学业	50.3153517542	-97.2776370303	0.579
共度	-11.0871331491	51.4022124708	0.503
九鬼家	-40.9203443422	-43.2309274435	0.439
随后	59.7195914117	34.7939333376	0.553
八册	-3.59136532468	-89.8945695399	0.555
消息	40.346189752	73.2564349792	0.555
充当	38.6088666383	-1.8981311606	0.421
委屈	2.0289799866	52.5596117204	0.535
到时候	-27.375153334	63.8365799244	0.445
也许	58.8737540354	2.69749552068	0.510
歌选	-30.6309399212	-23.4096164965	0.346
工作日	105.323528309	-8.6247302859	0.475
毒刃	2.38717930158	6.40171261705	0.421
岂可	-53.534636765	-71.3119337375	0.442
来	-7.95554032331	18.129000712	0.476
小玩意儿	6.61965062654	-15.126107992	0.494
大菜	-49.3114922269	-103.997836865	0.716
真是	-46.2176123509	67.1667875958	0.552
打打闹闹	-4.57098091934	31.6644757715	0.533
红星村	-87.7523519005	-35.8868769155	0.463
死讯	41.4126481035	50.3446987169	0.510
四暗刻	1.00179994519	-14.2267183939	0.419
邹志良	-61.197019818	-9.14098406329	0.639
哀求	15.4102371544	38.0779852938	0.571
设丁	-21.7712887208	-31.5441939528	0.396
动动	-46.760621195	26.5901933282	0.521
广域	-10.0538257692	-23.612930742	0.513
浏览	39.0967197168	75.4018955764	0.472
抢戏	-50.4782941792	15.0445848843	0.553
闲居	-72.3133300325	-67.9625863679	0.563
顾峰	-67.6731189201	24.955266241	0.553
造成	93.0545439981	44.4769159727	0.591
麒洛国	-24.7405079884	-34.0292273678	0.610
生日礼物	-38.3650945323	31.5058033975	0.554
少根筋	46.7457916777	-60.7126437978	0.628
捎来	-68.2791117848	21.9563668784	0.461
制止	41.0510483856	44.0921140153	0.665
降灵会	-36.5380754494	-2.52533942218	0.427
不已	26.3862721699	49.3850857973	0.698
