word	x	y	nearest
逮捕	-41.0501377436	17.4660492166	0.579
中东	-62.9863682814	-66.2250491685	0.617
给	-30.8223237618	37.6394474024	0.661
心去	5.30363633405	18.6589381444	0.566
应负	-17.0055122329	23.4526990346	0.556
眼疾	-19.0188191871	-57.2157904851	0.659
再度	-42.3693771416	0.0786860395417	0.806
明月刀	55.4105432594	-10.8870732934	0.585
黄沙	39.9635153418	-35.9390713984	0.564
仿佛	-25.1506418352	27.3530549159	0.528
怕	26.5426342803	52.3679136138	0.592
由衷	15.0245436115	32.9375583583	0.521
许许多多	-1.05528728034	16.4944659668	0.576
难以	-84.5906417107	17.3266447395	0.747
荷西	0.0791137175179	-72.786170066	0.554
事关重大	-13.5557304273	19.6867229475	0.521
对于	-56.4048208551	23.8869379573	0.663
作者	46.5997629768	-62.9475990368	0.595
温暖	24.8311055818	40.9956641595	0.554
中曾	-44.9240962706	-49.6203174984	0.393
外甥	102.923951781	-8.22100723975	0.646
默默	2.45120108812	48.0433148272	0.624
家庭	83.7675502197	-14.2097162139	0.535
两个	-55.184484941	-10.9508730068	0.619
整整	-77.3944616799	-52.8202290093	0.536
提到	-61.74990707	41.2506898313	0.739
关上	-35.2902411749	63.3357696817	0.625
感觉	18.2495111708	44.5448447771	0.633
反应	-8.74141482609	-28.1053081733	0.730
缺少	-79.8495063725	-2.46954749032	0.688
北于	-9.76110609799	-93.9019568152	0.618
礼物	27.7906209606	9.91127126566	0.554
消瘦	-18.2706677768	-30.8911451483	0.645
装回	-8.44758220665	-20.8171199762	0.613
极大	-71.2034555178	-13.6518444899	0.640
后	-41.8335966523	2.65629287417	0.590
矛盾	-37.6906372291	-78.2135384551	0.578
很	-9.46182779339	79.8164638931	0.833
已	-67.2766912011	9.08359332137	0.717
之外	-54.2928800002	-29.3535974273	0.754
里面	-1.17722034244	8.95083500557	0.563
刚出	6.89464307669	-9.1688888735	0.522
充足	-25.7473471194	-30.9564404268	0.609
信仰	77.2258173306	56.6050404394	0.679
手之战	-11.0439658251	11.5969697984	0.454
辛酸	31.9075659285	21.0914756312	0.495
但愿	39.7446108902	29.1712972152	0.627
下才	-47.4625639454	30.0120792404	0.536
